RUNNO,TRNO,R#,O#,P#,CR,MODEL,EXNAME,TNAM,FNAM,WSTA,WYEAR,SOIL_ID,LAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST
1,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,1984,KE04568825,          1.875,         35.458,      -99,1984001,1984062,1984067,1984111,1984153,1984153,1984,-99,15123,5656,5656,0,9431,0.237000123,2387,477.300201,0.374006659,3.37333536,-99,-99,-99,-99,-99,29,476,111,643,361,282,2,0,0,2,100,0,129,0,12,31,109,76,0.701538324E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26412,26412,0,0,189016,189016,425,0.00000000,151.834885,30.2747402,41.9076843,31.7873230,56.7871513,11.3229332,15.6737232,11.8886480,151.227539,117.230652,56.5600014,43.8449631,91,33.1285706,18.1648350,23.0956059,12.0408411,344.161102,99.5999985,499.517212,141.902100,360.858734,1,
2,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,1985,KE04568825,          1.875,         35.458,      -99,1985001,1985061,1985067,1985115,1985164,1985164,1985,-99,15516,5981,5981,0,9881,0.276500136,2163,432.617096,0.385466188,3.49612522,-99,-99,-99,-99,-99,16,252,329,541,300,242,17,0,73,2,100,0,136,0,15,41,113,80,0.846202224E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26403,26403,0,0,188953,188953,521,0.00000000,51.5999565,37.3483086,51.8033752,61.5313568,19.8902550,14.3966675,19.9686680,23.7185154,155.161072,114.089027,59.8100014,43.9779396,103,30.0475693,17.4524288,20.6310673,12.0469084,345.597534,300.700012,415.443359,118.759842,299.519226,1,
3,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,1986,KE04568825,          1.875,         35.458,      -99,1986001,1986060,1986066,1986111,1986159,1986159,1986,-99,13815,5002,5002,0,8676,0.268600047,1862,372.421539,0.362038136,3.31403279,-99,-99,-99,-99,-99,19,310,298,574,304,271,12,0,73,2,100,0,134,0,14,39,107,74,0.901022628E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26405,26405,0,0,188939,188939,486,0.00000000,48.1197510,29.9784985,45.4727287,44.5455818,17.4225025,10.8541803,16.4641075,16.1284180,138.151794,103.098358,50.0200005,37.3283577,99,30.7191944,17.8888950,20.6666641,12.0430746,346.751221,287.099976,460.836273,159.419601,303.812408,1,
4,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,1987,KE04568825,          1.875,         35.458,      -99,1987001,1987060,1987065,1987111,1987156,1987156,1987,-99,14507,6089,6089,0,9628,0.268600017,2267,453.415894,0.419762284,3.32369328,-99,-99,-99,-99,-99,19,320,281,591,309,282,14,0,47,2,100,0,132,0,12,34,106,79,0.781990439E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26411,26411,0,0,189017,189017,460,0.00000000,58.1431808,30.6129227,46.9948654,45.3871574,24.4048100,12.8493576,19.7254562,19.0506420,145.067230,109.899422,60.8899994,46.1287880,96,31.1781158,18.5531235,20.5875034,12.0411644,348.375244,249.500000,473.875824,166.963058,308.687408,1,
5,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,1988,KE04568825,          1.875,         35.458,      -99,1988001,1988060,1988065,1988109,1988156,1988156,1988,-99,13786,5119,5119,0,8612,0.268599987,1906,381.146484,0.371290833,3.32652092,-99,-99,-99,-99,-99,15,252,340,536,291,244,12,0,95,2,100,0,134,0,16,40,108,75,0.753252059E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26404,26404,0,0,188918,188918,497,0.00000000,44.0885544,33.5047951,47.3408165,54.6811180,16.3703251,12.4405174,17.5779095,20.3034039,137.864883,102.884239,51.1899986,38.2014923,96,31.0864544,18.6927109,20.3156242,12.0411644,350.693970,312.699951,411.478058,122.865723,291.217804,1,
6,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,1989,KE04568825,          1.875,         35.458,      -99,1989001,1989060,1989065,1989113,1989160,1989160,1989,-99,13912,5224,5224,0,8514,0.268599927,1945,388.991150,0.375525892,3.39994240,-99,-99,-99,-99,-99,18,280,316,575,314,262,12,0,59,2,100,0,133,0,12,35,106,73,0.841861367E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26410,26410,0,0,189034,189034,486,0.00000000,46.6204987,31.6612797,44.3404694,49.7587929,17.5067005,11.8892889,16.6505165,18.6851768,139.115570,104.598175,52.2400017,39.2781944,100,30.7890034,17.5650005,20.9280033,12.0436964,352.452881,298.400024,439.387085,127.874557,313.744019,1,
7,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,1990,KE04568825,          1.875,         35.458,      -99,1990001,1990060,1990066,1990114,1990159,1990159,1990,-99,15442,5951,5951,0,10113,0.252800047,2354,470.798218,0.385377675,3.34190845,-99,-99,-99,-99,-99,20,325,208,561,289,272,6,0,16,2,100,0,130,0,12,33,109,79,0.318488181,-99,-99,-99,-99,-99,-99,-99,-99,0,26411,26411,0,0,189005,189005,454,0.00000000,91.8602753,36.5366364,53.4362144,47.5160255,35.4015503,14.0806627,20.5935020,18.3119526,154.417114,118.782394,59.5099983,45.7769241,99,30.2393913,18.2050514,21.2040424,12.0430746,353.651154,168.099991,422.636353,136.214645,288.974640,1,
8,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,1991,KE04568825,          1.875,         35.458,      -99,1991001,1991060,1991065,1991111,1991153,1991153,1991,-99,14810,5655,5655,0,9187,0.244900107,2309,461.855286,0.381869078,3.49934006,-99,-99,-99,-99,-99,21,341,221,566,331,234,8,0,40,2,100,0,131,0,12,34,110,77,0.755497068E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26409,26409,0,0,188995,188995,459,0.00000000,75.1768646,33.1715469,44.7390022,43.3698196,28.7055836,12.6662455,17.0831718,16.5603619,148.098419,113.052231,56.5499992,43.1679382,93,32.2913971,18.4612885,21.5473137,12.0391884,355.197906,197.000000,446.462219,118.043465,331.027527,1,
9,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,1992,KE04568825,          1.875,         35.458,      -99,1992001,1992060,1992065,1992110,1992152,1992152,1992,-99,15310,5829,5829,0,9508,0.237000048,2460,491.927765,0.380743772,3.47482729,-99,-99,-99,-99,-99,24,396,171,605,348,257,4,0,8,2,100,0,130,0,13,32,110,77,0.126814187,-99,-99,-99,-99,-99,-99,-99,-99,0,26411,26411,0,0,189017,189017,442,0.00000000,93.5844498,31.9105549,44.0074234,38.6727791,35.6295853,12.1490259,16.7545605,14.7235479,153.104156,117.772423,58.2900009,44.8384628,92,33.0402184,18.6793499,23.0347843,12.0385160,356.030670,163.599991,479.791565,135.586853,347.905273,1,
10,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,1993,KE04568825,          1.875,         35.458,      -99,1993001,1993061,1993066,1993111,1993154,1993154,1993,-99,14512,5596,5596,0,8583,0.252800047,2214,442.724762,0.385615081,3.41775274,-99,-99,-99,-99,-99,22,375,222,621,341,280,4,0,22,2,100,0,129,0,12,31,106,72,0.697522759E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26413,26413,0,0,189029,189029,447,0.00000000,92.7876663,31.6549015,42.5484200,38.7131004,35.7800522,12.2065153,16.4071884,14.9282427,145.119904,112.496048,55.9599991,43.3798447,93,32.3043022,18.1290379,22.8247395,12.0406780,356.600464,156.399994,458.443695,120.041168,341.070007,1,
